title,release_date,budget,revenue,profit,release_year,is_profitable
John Wick - Capitolo 2,2017-02-08,40000000,171539887,131539887,2017,True
Encanto,2021-10-13,50000000,253000000,203000000,2021,True
One Piece Film - Red,2022-08-06,0,150797338,150797338,2022,True
Batman v Superman: Dawn of Justice,2016-03-23,250000000,874362803,624362803,2016,True
Hunger Games - La ballata dell'usignolo e del serpente,2023-11-15,100000000,337371917,237371917,2023,True
Transformers - L'ultimo cavaliere,2017-06-16,217000000,605425157,388425157,2017,True
Red,2022-03-10,175000000,21328962,-153671038,2022,False
L'esorcista del Papa,2023-04-05,18000000,76987621,58987621,2023,True
Shrek e vissero felici e contenti,2010-05-16,165000000,752600867,587600867,2010,True
The Conjuring - Il caso Enfield,2016-06-08,40000000,322811702,282811702,2016,True
Toy Story - Il mondo dei giocattoli,1995-10-30,30000000,394436586,364436586,1995,True
Black Panther - Wakanda Forever,2022-11-09,250000000,859102154,609102154,2022,True
Guerre stellari,1977-05-25,11000000,775398007,764398007,1977,True
Ted 2,2015-06-25,68000000,215863606,147863606,2015,True
La furia di un uomo - Wrath of Man,2021-04-22,40000000,103966489,63966489,2021,True
Lo Hobbit: Un viaggio inaspettato,2012-12-12,250000000,1021103568,771103568,2012,True
Povere creature!,2023-12-07,35000000,117607117,82607117,2023,True
Kingsman: Secret Service,2015-01-24,81000000,414351546,333351546,2015,True
Fast & Furious 8,2017-04-12,250000000,1236000000,986000000,2017,True
Garfield - Il film,2004-06-10,50000000,200800000,150800000,2004,True
Hunger Games: Il canto della rivolta - Parte 1,2014-11-19,125000000,755356711,630356711,2014,True
Scream VI,2023-03-08,35000000,168961389,133961389,2023,True
Dragon Trainer,2010-03-18,165000000,494879471,329879471,2010,True
Spider-Man: Homecoming,2017-07-05,175000000,880166924,705166924,2017,True
Cenerentola,2015-03-06,95000000,543514353,448514353,2015,True
Spider-Man - Un nuovo universo,2018-12-06,90000000,384298736,294298736,2018,True
Good Boy,2022-06-03,8500,0,-8500,2022,False
Il gladiatore,2000-05-04,103000000,465361176,362361176,2000,True
Doctor Strange,2016-10-25,180000000,676343174,496343174,2016,True
Il diritto di contare,2016-12-10,25000000,236000000,211000000,2016,True
Una notte da leoni 3,2013-05-23,103000000,362000072,259000072,2013,True
Lilo & Stitch,2002-06-21,80000000,273144151,193144151,2002,True
Lo Hobbit: La desolazione di Smaug,2013-12-11,250000000,958400000,708400000,2013,True
Apes Revolution - Il pianeta delle scimmie,2014-07-08,170000000,710644566,540644566,2014,True
Il cavaliere oscuro,2008-07-16,185000000,1004558444,819558444,2008,True
1992,2024-08-29,0,2587463,2587463,2024,True
Le Consentement,2023-10-11,3700000,4686249,986249,2023,True
Five Nights at Freddy's,2023-10-25,20000000,294803785,274803785,2023,True
Avengers: Endgame,2019-04-24,356000000,2799439100,2443439100,2019,True
Pirati dei Caraibi - Oltre i confini del mare,2011-05-15,379000000,1045700000,666700000,2011,True
Avengers: Age of Ultron,2015-04-22,365000000,1405403694,1040403694,2015,True
Titanic,1997-11-18,200000000,2264162353,2064162353,1997,True
Il padrino - Parte II,1974-12-20,13000000,102600000,89600000,1974,True
John Wick 3 - Parabellum,2019-05-15,55000000,326709727,271709727,2019,True
The Batman,2022-03-01,185000000,771000000,586000000,2022,True
Bad Boys for Life,2020-01-15,90000000,426505244,336505244,2020,True
Le ali della libertà,1994-09-23,25000000,28341469,3341469,1994,True
20th Century Girl,2022-10-06,119,0,-119,2022,False
Trolls 3 - Tutti insieme,2023-10-12,95000000,207318137,112318137,2023,True
Talk to Me,2023-07-26,4500000,92000000,87500000,2023,True
Una notte da leoni,2009-06-02,35000000,469310836,434310836,2009,True
Up,2009-05-28,175000000,735099082,560099082,2009,True
Cars 3,2017-06-15,175000000,383925276,208925276,2017,True
Smile,2022-09-23,17000000,217408513,200408513,2022,True
White Chicks,2004-06-23,37000000,113100000,76100000,2004,True
Toy Story 2 - Woody & Buzz alla riscossa,1999-10-30,90000000,497375381,407375381,1999,True
Pirati dei Caraibi - La vendetta di Salazar,2017-05-23,230000000,795900000,565900000,2017,True
Wrong Turn 2 - Senza via di uscita,2007-08-25,4000000,0,-4000000,2007,False
L'era glaciale,2002-03-10,59000000,383257136,324257136,2002,True
Le follie dell'imperatore,2000-12-15,100000000,169327687,69327687,2000,True
Napoleon,2023-11-22,165000000,220597098,55597098,2023,True
"Il buono, il brutto, il cattivo",1966-12-22,1200000,38900000,37700000,1966,True
Autopsy,2016-12-21,4000000,6170043,2170043,2016,True
Farang,2023-06-28,4920000,1500000,-3420000,2023,False
Fast X,2023-05-17,340000000,704709660,364709660,2023,True
The Help,2011-08-09,25000000,216600000,191600000,2011,True
La maledizione della prima luna,2003-07-09,140000000,655011224,515011224,2003,True
O Mestre da Fumaça,2023-05-18,120000,0,-120000,2023,False
John Wick 4,2023-03-22,90000000,440157245,350157245,2023,True
Spider-Man: No Way Home,2021-12-15,200000000,1921847111,1721847111,2021,True
Inside Out,2015-06-17,175000000,857611174,682611174,2015,True
The Marvels,2023-11-08,274800000,207089999,-67710001,2023,False
Monolith,2023-10-26,0,12480,12480,2023,True
Malditas,2023-10-20,400000,0,-400000,2023,False
Coco,2017-10-27,175000000,807816196,632816196,2017,True
Coraline e la porta magica,2009-02-05,60000000,172750668,112750668,2009,True
Il Signore degli Anelli - Il ritorno del re,2003-12-17,94000000,1118888979,1024888979,2003,True
Harry Potter e la camera dei segreti,2002-11-13,100000000,876688482,776688482,2002,True
Super Mario Bros. - Il film,2023-04-05,100000000,1362000000,1262000000,2023,True
